region,timepoint,strata_level,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
pooled,pooled,pooled,activated_m2_cd140b,endothelial,-0.4059443740702264,0.7547420842568999,-0.7371670249093738,-0.07472172323107898,"[-0.07472172323107898, -0.7371670249093738]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,fibroblast,0.13754204972892659,1.1000293749833037,-0.023462432432710633,0.2985465318905638,"[0.2985465318905638, -0.023462432432710633]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,immune_cells,0.2028647237095507,1.1509815628939941,0.002076612186809046,0.40365283523229234,"[0.40365283523229234, 0.002076612186809046]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,m2_macrophage,1.2050071711055275,2.3053841527845176,0.9735250131850581,1.4364893290259968,"[0.9735250131850581, 1.4364893290259968]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,myeloid,1.4202997218716762,2.676411079887772,1.3973863371271853,1.443213106616167,"[1.3973863371271853, 1.443213106616167]",67,20,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,neutrophil,-0.08670908351621515,0.9416683308770536,-0.22529199115343918,0.05187382412100889,"[0.05187382412100889, -0.22529199115343918]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_endothelial_cd140b,-0.8397131686613724,0.5587546475440768,-0.9399026194637347,-0.73952371785901,"[-0.9399026194637347, -0.73952371785901]",348,24,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_endothelial_cd44,-0.5026229875908105,0.7058223466930491,-0.7529268283382285,-0.25231914684339235,"[-0.25231914684339235, -0.7529268283382285]",348,24,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_fibroblast_cd140b,-0.5577474700761834,0.6793620476753073,-0.5602680946620748,-0.555226845490292,"[-0.5602680946620748, -0.555226845490292]",348,24,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_fibroblast_cd44,0.170340022839841,1.1253236763294154,-0.33932984765200414,0.6800098933316862,"[0.6800098933316862, -0.33932984765200414]",287,20,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_immune,-0.08450554498143215,0.9431077119363422,-0.8717662309514432,0.7027551409885789,"[0.7027551409885789, -0.8717662309514432]",246,15,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_m2_cd140b,0.1418499649182334,1.1033189928788236,-0.11110656934766154,0.39480649918412836,"[0.39480649918412836, -0.11110656934766154]",308,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_m2_cd44,0.7299119762213411,1.6585378954493317,0.49285274368184734,0.9669712087608349,"[0.49285274368184734, 0.9669712087608349]",348,24,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_myeloid_cd140b,0.6673059606277678,1.5881046246262227,0.34245559266488884,0.9921563285906468,"[0.34245559266488884, 0.9921563285906468]",291,18,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd44,activated_myeloid_cd44,0.6560684977754452,1.5757825869669682,0.46349996375519725,0.848637031795693,"[0.46349996375519725, 0.848637031795693]",348,24,2,2,0,False,False
